,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
121,33.83801612903225,29.946172043010765,110.14299999999999,54.022,4.812,13.085999999999999,31.555518932634378,11.817510063459686,2013-08-31 00:00:00,H,2,M1,H,C
122,92.45671111111109,19.81386111111111,111.02600000000001,43.071000000000005,31.759,2.55,15.962232473441558,8.263256247908059,2013-09-30 00:00:00,H,2,M1,H,C
123,93.05206617647059,9.648955882352936,112.773,31.099,58.763999999999996,-0.465,16.527173879179255,7.077675153835791,2013-10-31 00:00:00,H,2,M1,H,C
124,66.72357142857143,18.73254761904762,98.71799999999999,36.104,17.021,2.0709999999999997,21.807128231710998,10.363618965335071,2013-04-30 00:00:00,H,2,M2,H,C
125,72.06379032258067,20.9520752688172,114.47200000000001,46.08,25.28,2.573,23.491078397670904,10.808217754659712,2013-05-31 00:00:00,H,2,M2,H,C
126,34.12059444444441,30.128766666666657,91.874,57.035,11.389000000000001,8.591000000000001,14.822203679938449,13.102904553729122,2013-06-30 00:00:00,H,2,M2,H,C
127,33.555252688172025,33.51660215053765,111.90899999999999,56.538000000000004,6.377000000000001,17.108,22.57109597395605,11.87708109208177,2013-07-31 00:00:00,H,2,M2,H,C
128,36.29445161290323,30.394236559139774,111.042,53.551,6.377000000000001,13.100999999999999,30.598184889998127,11.439325777143967,2013-08-31 00:00:00,H,2,M2,H,C
129,92.96513888888889,20.542144444444432,113.197,44.585,31.988000000000003,3.576,16.638015577097292,8.360088677406647,2013-09-30 00:00:00,H,2,M2,H,C
130,95.26206569343064,10.361467153284677,114.89299999999999,31.61,53.001999999999995,0.063,15.4906588898356,7.411536143118466,2013-10-31 00:00:00,H,2,M2,H,C
131,68.5674761904762,16.75654761904762,97.189,29.55,16.984,2.508,19.335290440069855,7.304312819558721,2013-04-30 00:00:00,H,2,M1,H,S
132,75.37596774193553,18.46081720430107,107.175,37.537,35.242,3.512,19.643085206539713,7.421947898243641,2013-05-31 00:00:00,H,2,M1,H,S
133,36.99615000000001,27.680638888888875,86.53200000000001,46.508,17.68,10.033,12.771966482360382,8.838202295004294,2013-06-30 00:00:00,H,2,M1,H,S
134,34.29886021505378,31.703166666666654,89.646,47.006,13.482000000000001,17.548,15.52640984212899,8.139457489004807,2013-07-31 00:00:00,H,2,M1,H,S
135,36.161349462365585,29.012870967741918,106.715,44.516000000000005,12.07,13.540999999999999,25.180623970789487,7.889352508253062,2013-08-31 00:00:00,H,2,M1,H,S
136,91.0014722222222,19.44362222222222,107.634,37.537,35.242,5.0169999999999995,14.843450786290669,6.490204124459965,2013-09-30 00:00:00,H,2,M1,H,S
137,93.12058394160593,9.58367883211679,108.54700000000001,27.552,46.169,1.504,12.99579973301416,5.774317481866303,2013-10-31 00:00:00,H,2,M1,H,S
138,74.01754761904762,15.676380952380956,103.491,26.586,16.871,2.568,21.310569104809154,6.838103124342338,2013-04-30 00:00:00,H,2,M2,H,S
139,81.11572043010753,17.58760752688172,109.141,35.583,39.312,3.57,18.331306064181913,6.87416415532255,2013-05-31 00:00:00,H,2,M2,H,S
140,48.972383333333305,26.375338888888873,106.57,45.573,21.791,9.577,18.179723893729477,8.285391377669587,2013-06-30 00:00:00,H,2,M2,H,S
141,32.26579032258064,30.918940860215056,104.821,46.571999999999996,1.597,16.083,22.84719070184798,8.23297285125223,2013-07-31 00:00:00,H,2,M2,H,S
142,29.625129032258073,28.898134408602125,101.23899999999999,43.575,3.827,13.581,22.024131098718314,7.833513171896168,2013-08-31 00:00:00,H,2,M2,H,S
143,62.99116666666673,19.21921111111111,104.37899999999999,37.082,14.737,3.57,26.47337142442207,6.615331895624093,2013-09-30 00:00:00,H,2,M2,H,S
144,74.63932846715325,9.10482481751825,107.434,25.586,23.180999999999997,-0.43700000000000006,23.73003783743967,6.076353606033473,2013-10-31 00:00:00,H,2,M2,H,S
